Species    Freq.     Unc.     J'(K-',K+') - J''(K-'',K+'')   F'  F1' -  F''  F1''  Vib.     Ref.                                                              

H_216O    22235.044  (1E-3)        6(1,6) -        5( 2,3)    7      -    6        (0,0,0)  [69033]
         254484.27   (0.12)       11(3,8) -      12( 2,11)                         (0,0,0)  [70026]
         265060.07   (0.12)       11(7,5) -       10( 8,2)                         (0,0,0)  [73057]
         265381.30   (0.12)       11(7,4) -       10( 8,3)                         (0,0,0)                                                                    
         307107.53   (0.12)        6(6,1) -        7( 5,2)                         (0,0,0)  [70028]
         307743.14   (0.12)        6(3,4) -        5( 4,1)                         (0,0,0)                                                                    
         308133.65   (0.12)        6(6,0) -        7( 5,3)                         (0,0,0)                                                                    
         316799.81   (0.12)        1(1,0) -        1( 0,1)                         (0,0,0)                                                                    
         339035.26   (0.15)        5(2,4) -        4( 3,1)                         (0,0,0)                                                                    
         403561.82   (0.15)        2(1,1) -        2( 0,2)                         (0,0,0)  [73057]
         458531.45   (0.15)        3(1,2) -        2( 2,1)                         (0,0,0)                                                                    
         468246.57   (0.15)        2(0,2) -        1( 1,1)                         (0,0,0)                                                                    
         607349.6    (0.2)         1(1,1) -        0( 0,0)                         (0,0,0)  [70027]
         890396.03   (0.30)        6(2,4) -        6( 1,5)                         (0,0,0)  [79028]
D_217O    21311.05   (0.03)        4(4,0) -        5( 3,3)       3/2 -        5/2  (0,0,0)  [73056]
          21312.20   (0.03)        4(4,0) -        5( 3,3)      13/2 -       15/2  (0,0,0)                                                                    
          21313.80   (0.03)        4(4,0) -        5( 3,3)       7/2 -        9/2  (0,0,0)                                                                    
          21314.50   (0.03)        4(4,0) -        5( 3,3)      11/2 -       13/2  (0,0,0)                                                                    
          21314.80   (0.03)        4(4,0) -        5( 3,3)       9/2 -       11/2  (0,0,0)                                                                    
          22454.04   (0.03)        3(1,3) -        2( 2,0)       9/2 -        7/2  (0,0,0)                                                                    
          22454.04   (0.03)        3(1,3) -        2( 2,0)       7/2 -        7/2  (0,0,0)                                                                    
          22454.60   (0.03)        3(1,3) -        2( 2,0)       7/2 -        5/2  (0,0,0)                                                                    
          22455.3    (0.1)         3(1,3) -        2( 2,0)       5/2 -        7/2  (0,0,0)                                                                    
          22455.64   (0.03)        3(1,3) -        2( 2,0)       5/2 -        5/2  (0,0,0)                                                                    
          22457.09   (0.03)        3(1,3) -        2( 2,0)       5/2 -        3/2  (0,0,0)                                                                    
          22457.09   (0.03)        3(1,3) -        2( 2,0)       3/2 -        5/2  (0,0,0)                                                                    
          22458.24   (0.03)        3(1,3) -        2( 2,0)      11/2 -        9/2  (0,0,0)                                                                    
          22460.03   (0.03)        3(1,3) -        2( 2,0)       3/2 -        1/2  (0,0,0)                                                                    
          22461.10   (0.03)        3(1,3) -        2( 2,0)       1/2 -        1/2  (0,0,0)                                                                    
          25835.35   (0.03)        5(3,2) -        4( 4,1)      13/2 -       11/2  (0,0,0)                                                                    
          25836.10   (0.03)        5(3,2) -        4( 4,1)       9/2 -        7/2  (0,0,0)                                                                    
