 53 2036.968251 5.324E-26 3.114E+01.06060.066 2222.75230.75-.002514              2              1                    P  8      475663 510 5 5 1 8    15.0   17.0
 51 2037.025324 5.134E-21 1.531E+01.04770.051 1247.05920.67-.002824              1              0                    P 25      475623 510 5 5 1 8    49.0   51.0
 52 2037.567979 1.628E-21 1.516E+01.05450.059  440.79120.71-.002803              1              0                    P 15      475663 510 5 5 1 8    58.0   62.0
 53 2037.954822 3.549E-22 1.518E+01.05530.059  384.26120.72-.002787              1              0                    P 14      475663 510 5 5 1 8    27.0   29.0
 53 2038.148880 8.011E-31 8.760E+01.08030.087 4162.62160.76-.001060              3              2                    P  1      475663 510 5 5 1 8     1.0    3.0
 52 2038.245476 8.393E-30 5.852E+01.07570.081 4177.65050.75-.001431              3              2                    P  2      475663 510 5 5 1 8     6.0   10.0
 51 2038.582374 2.975E-24 3.082E+01.05170.055 2866.29750.67-.002831              2              1                    P 19      475663 510 5 5 1 8    37.0   39.0
 51 2038.624974 6.559E-28 4.671E+01.05610.060 4603.38890.73-.002765              3              2                    P 13      475663 510 5 5 1 8    25.0   27.0
 52 2040.701859 2.942E-25 3.138E+01.06060.066 2227.19410.75-.002514              2              1                    P  8      475663 510 5 5 1 8    30.0   34.0
 53 2040.821624 5.375E-26 3.162E+01.06180.068 2193.72830.75-.002418              2              1                    P  7      475663 510 5 5 1 8    13.0   15.0
 51 2041.666460 7.865E-21 1.542E+01.04830.051 1151.31500.67-.002827              1              0                    P 24      475623 510 5 5 1 8    47.0   49.0
 52 2041.687842 1.989E-21 1.530E+01.05530.059  385.72750.72-.002787              1              0                    P 14      475663 510 5 5 1 8    54.0   58.0
 52 2041.888544 4.354E-30 8.825E+01.08030.087 4170.42960.76-.001060              3              2                    P  1      475663 510 5 5 1 8     2.0    6.0
 53 2042.027528 4.236E-22 1.532E+01.05610.060  333.05460.73-.002765              1              0                    P 13      475663 510 5 5 1 8    25.0   27.0
 51 2042.808552 7.699E-28 4.715E+01.05690.062 4554.36700.74-.002736              3              2                    P 12      475663 510 5 5 1 8    23.0   25.0
